"H (A_per_meter)" 	"B (tesla)"
0 	0
32.600000000000001 	0.1139
194.30000000000001 	1.004
356.10000000000002 	1.2629999999999999
517.79999999999995 	1.3580000000000001
679.60000000000002 	1.4330000000000001
841.29999999999995 	1.4590000000000001
1003 	1.482
1165 	1.504
1327 	1.5209999999999999
1488 	1.53
1650 	1.538
1812 	1.5469999999999999
1974 	1.5549999999999999
2135 	1.5629999999999999
2297 	1.5720000000000001
2459 	1.577
2620 	1.581
2782 	1.585
2944 	1.589
3106 	1.593
3267 	1.597
3429 	1.601
3591 	1.605
3753 	1.609
3914 	1.613
4076 	1.617
4238 	1.6220000000000001
4400 	1.625
4561 	1.6279999999999999
4723 	1.631
4885 	1.6339999999999999
5047 	1.6359999999999999
5208 	1.639
5370 	1.6419999999999999
5532 	1.645
5694 	1.6479999999999999
5855 	1.651
6017 	1.6539999999999999
6179 	1.6559999999999999
6341 	1.659
6502 	1.6619999999999999
6664 	1.665
6826 	1.6679999999999999
6988 	1.671
7149 	1.6739999999999999
7311 	1.6759999999999999
7473 	1.679
7635 	1.6819999999999999
7796 	1.6850000000000001
7958 	1.6879999999999999
