
 ==============================
 S N O P T  7.2-5    (May 2007)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated

 ==============================
 S N O P T  7.2-5    (May 2007)
 ==============================
 
 

 Nonlinear constraints       1     Linear constraints       0
 Nonlinear variables        25     Linear variables         0
 Jacobian  variables        25     Objective variables     25
 Total constraints           1     Total variables         25
 

 
 The user has defined      25   out of      25   constraint gradients.
 The user has defined      25   out of      25   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
     0      5               1  7.2E-02  2.6E-02  1.3334208E-01     5           r
     1      6  1.0E+00      2 (2.4E-13) 4.9E-02  4.0897851E-02     8         n r
     2      7  1.0E+00      3 (1.1E-15) 6.7E-02  8.9563944E-03    12         s
     3      6  1.0E+00      4 (5.9E-16) 2.2E-02  2.8346456E-03    17
     4      3  1.0E+00      5 (5.9E-16) 7.8E-03  1.1925328E-03    19
     5      2  1.0E+00      6 (4.5E-16) 5.8E-03  9.8111832E-04    20
     6      1  1.0E+00      7 (4.7E-16) 2.8E-03  7.2308789E-04    20
     7      1  1.0E+00      8 (4.5E-16) 1.8E-03  5.4602775E-04    20
     8      1  1.0E+00      9 (5.5E-16) 1.5E-03  4.0788370E-04    20
     9      1  1.0E+00     10 (5.8E-16) 1.2E-03  3.0969801E-04    20

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    10      1  1.0E+00     11 (5.5E-16) 8.5E-04  2.4278889E-04    20
    11      1  1.0E+00     12 (5.0E-16) 6.1E-04  2.0353700E-04    20
    12      1  1.0E+00     13 (6.1E-16) 7.2E-04  1.8573151E-04    20
    13      1  1.0E+00     14 (6.4E-16) 8.2E-04  1.7923971E-04    20
    14      1  1.0E+00     15 (5.2E-16) 8.7E-04  1.7441534E-04    20
    15      1  1.0E+00     16 (5.9E-16) 8.6E-04  1.6454201E-04    20
    16      2  1.0E+00     17 (6.0E-16) 6.9E-04  1.4805440E-04    21
    17      1  1.0E+00     18 (6.8E-16) 4.2E-04  1.2816009E-04    21
    18      1  1.0E+00     19 (5.7E-16) 2.1E-04  1.0987134E-04    21
    19      1  1.0E+00     20 (7.3E-16) 1.2E-04  9.3825853E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    20      1  1.0E+00     21 (6.2E-16) 1.5E-04  8.3565978E-05    21
    21      1  1.0E+00     22 (6.8E-16) 2.0E-04  8.0572231E-05    21
    22      1  1.0E+00     23 (6.5E-16) 2.0E-04  8.0182734E-05    21
    23      1  1.0E+00     24 (5.8E-16) 2.0E-04  7.9866547E-05    21
    24      1  1.0E+00     25 (7.0E-16) 1.7E-04  7.9270638E-05    21
    25      1  1.0E+00     26 (6.9E-16) 1.2E-04  7.8640677E-05    21
    26      1  1.0E+00     27 (6.0E-16) 7.7E-05  7.7828394E-05    21
    27      1  1.0E+00     28 (6.4E-16) 5.1E-05  7.6594732E-05    21
    28      1  1.0E+00     29 (6.0E-16) 5.0E-05  7.4753958E-05    21
    29      1  1.0E+00     30 (5.6E-16) 5.2E-05  7.3099021E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    30      1  1.0E+00     31 (6.5E-16) 5.1E-05  7.2571229E-05    21
    31      1  1.0E+00     32 (6.3E-16) 4.9E-05  7.2444530E-05    21
    32      1  1.0E+00     33 (7.4E-16) 4.9E-05  7.2334842E-05    21
    33      1  1.0E+00     34 (5.8E-16) 5.0E-05  7.2242626E-05    21
    34      1  1.0E+00     35 (6.5E-16) 5.2E-05  7.2129897E-05    21
    35      1  1.0E+00     36 (5.9E-16) 5.5E-05  7.1920017E-05    21
    36      1  1.0E+00     37 (7.2E-16) 5.9E-05  7.1442752E-05    21
    37      1  1.0E+00     38 (7.2E-16) 6.3E-05  7.0380367E-05    21
    38      1  1.0E+00     39 (6.8E-16) 6.0E-05  6.8378118E-05    21
    39      1  1.0E+00     40 (5.9E-16) 4.2E-05  6.5858862E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    40      1  1.0E+00     41 (6.6E-16) 3.6E-05  6.4110401E-05    21
    41      1  1.0E+00     42 (6.5E-16) 4.0E-05  6.3489423E-05    21
    42      1  1.0E+00     43 (6.4E-16) 4.5E-05  6.3300271E-05    21
    43      1  1.0E+00     44 (5.8E-16) 4.2E-05  6.3279538E-05    21
    44      1  1.0E+00     45 (6.6E-16) 4.1E-05  6.3258372E-05    21
    45      1  1.0E+00     46 (6.4E-16) 3.8E-05  6.3220142E-05    21
    46      1  1.0E+00     47 (7.2E-16) 3.4E-05  6.3105657E-05    21
    47      1  1.0E+00     48 (6.5E-16) 2.8E-05  6.2832449E-05    21
    48      1  1.0E+00     49 (6.6E-16) 2.1E-05  6.2173213E-05    21
    49      2  1.0E+00     50 (5.9E-16) 1.8E-05  6.0866761E-05    20

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    50      1  1.0E+00     51 (7.5E-16) 2.2E-05  5.8985131E-05    20
    51      1  1.0E+00     52 (7.4E-16) 2.9E-05  5.7467234E-05    20
    52      1  1.0E+00     53 (7.0E-16) 2.2E-05  5.6908714E-05    20
    53      1  1.0E+00     54 (7.3E-16) 2.1E-05  5.6836578E-05    20
    54      1  1.0E+00     55 (7.1E-16) 2.3E-05  5.6815464E-05    20
    55      1  1.0E+00     56 (7.4E-16) 2.5E-05  5.6763289E-05    20
